Title,Description,Work Item Type,Area Path,Iteration Path,Assigned To,State
6.15.2 (POS3-CART-02) 促销活动应用,[P2] 购物车/结账按促销活动（套餐促销/满减/打折特价）计算促销优惠金额；套餐促销默认不参与会员折上折与优惠券整单优惠；多活动叠加规则见附录 13.8，重算实时一致,Task,Peterson,Peterson\Sprint 5,teresa.mo,New
6.15.3 (POS3-CART-03) 服务费应用,[P2] 按门店/订单属性规则计算服务费并单独列示；服务费金额计入订单与小票；小程序自提不收取（POS 堂食等按后台配置）,Task,Peterson,Peterson\Sprint 5,teresa.mo,New
6.15.4 (POS3-CART-04) 打包费应用,[P2] 按规则（外带/打包商品/套餐）计算打包费并单独列示；计入订单与小票,Task,Peterson,Peterson\Sprint 5,teresa.mo,New
6.15.5 (POS3-CART-05) 固价商品不参与优惠,[P2] 固价商品不参与优惠券、促销活动等任何优惠；券分摊/促销/打折计算中固价商品按固价原值处理,Task,Peterson,Peterson\Sprint 5,teresa.mo,New
6.15.6 (POS3-CART-06) 结账抹零（分摊到商品）,[P2] 对订单总实收进行抹零；抹零金额按规则分摊到各商品（含套餐组内商品），支撑退单时单品退款计算；各品分摊之和=总抹零，分摊到分、无尾差,Task,Peterson,Peterson\Sprint 5,teresa.mo,New
6.15.7 (POS3-CART-07) 购物车显示优惠与应付,[P2] 购物车由「只显示商品总价」改为显示优惠金额（优惠券、促销、抹零等）与应付金额；金额随选券/活动/数量实时重算,Task,Peterson,Peterson\Sprint 5,teresa.mo,New
6.15.8 (POS3-CART-08) 购物车/结账 Redis 改造,[P2] Redis 购物车结构支持套餐组、促销优惠、服务费/打包费、抹零分摊；POS 多设备会话隔离；结账快照、挂单暂存兼容新结构,Task,Peterson,Peterson\Sprint 5,teresa.mo,New
6.16.1 (POS3-REF-01) 退单可选单品数量（多次退）,[P2] 退单支持输入退货/退款数量（≤可退数量）；同一多数量商品可分多次退，系统记录累计已退、剩余可退；退款按优惠后/抹零分摊后单价×数量计算；库存仅按实际退货数量回补（退货退款）,Task,Peterson,Peterson\Sprint 5,teresa.mo,New
6.16.2 (POS3-REF-02) 退套餐计算,[P2] 套餐退单按套餐组与套餐促销规则计算可退金额；套餐内单品部分退需校验是否破坏套餐条件并按附录 13.8 重算；券退回仍遵循「参与券商品全退才退券」,Task,Peterson,Peterson\Sprint 5,teresa.mo,New
6.16.3 (POS3-REF-03) 打印退单小票开关,[P2] 退单操作提供「打印退单小票」开关，开启则退单成功即自动出票；退单小票使用独立模板（见 ADM3-TPL-01）；打印任务状态可追踪,Task,Peterson,Peterson\Sprint 5,teresa.mo,New
6.16.4 (POS3-REF-04) 补打退单小票,[P2] 退单详情支持补打退单小票；补打内容与首次一致；记录补打操作人与时间,Task,Peterson,Peterson\Sprint 5,teresa.mo,New
6.17.1 (POS3-PROG-01) 制作中店内商品禁退、仅当日可退,[P2] 商品新增「店内商品」类型；制作中（状态 12）状态下该类商品退单勾选框置灰并提示原因；退单仅当日订单有效（替换/收紧现 30 天规则，期限可后台配置）；其他商品类型按既有退单规则执行,Task,Peterson,Peterson\Sprint 5,teresa.mo,New
6.18.1 (POS3-RCPT-01) 收银小票优惠明细,[P2] 小票展示优惠明细：优惠券、促销活动、抹零等分门别类列示；券明细循环与订单核销一致；无优惠时该区块折叠/显示无,Task,Peterson,Peterson\Sprint 5,teresa.mo,New
6.18.2 (POS3-RCPT-02) 收银小票附加费,[P2] 小票列示附加费：服务费、打包费分项金额；计入合计/应收；模板可配置是否显示,Task,Peterson,Peterson\Sprint 5,teresa.mo,New
6.19.1 (POS3-ORD-01) 订单列表套餐显示,[P2] 含套餐订单在列表展示套餐名称/数量概要；与单品合并展示不串项；支持按套餐快速辨识,Task,Peterson,Peterson\Sprint 5,teresa.mo,New
6.19.2 (POS3-ORD-02) 订单详情套餐显示,[P2] 详情按套餐组展示套餐（组名、组内商品、数量、套餐价/优惠）；退单后展示套餐退款情况,Task,Peterson,Peterson\Sprint 5,teresa.mo,New
6.19.3 (POS3-ORD-03) 订单详情金额扩展,[P2] 金额区新增促销活动金额、服务费、打包费；与商品总价/券/抹零/应收/实收口径一致、可对账,Task,Peterson,Peterson\Sprint 5,teresa.mo,New
6.19.4 (POS3-MBR-01) 会员消费记录套餐显示,[P2] 会员消费记录中含套餐的订单展示套餐信息；订单类型、状态、金额口径与订单详情一致,Task,Peterson,Peterson\Sprint 5,teresa.mo,New
6.20.1 (POS3-WINE-01) 打印取酒凭证,[P2] 办理取酒时可打印取酒凭证（区别于存酒凭证 T=3）；凭证含会员、酒品、数量、取酒时间/操作人；使用独立模板与绑定前厅打印机，失败可补打,Task,Peterson,Peterson\Sprint 5,teresa.mo,New
6.20.2 (POS3-DASH-01) 实时营收公式更新,[P2] 销售金额 = 商品原单价×销售数量 + 附加费（服务费、打包费等，含储蓄卡消费）− 销售退单金额（实退金额 + 均摊优惠券金额）；其中退单均摊优惠券金额为本期新增口径；营业实收/退款等同口径联动；历史数据口径说明见附录 13.8,Task,Peterson,Peterson\Sprint 5,teresa.mo,New
7.1.1.1 (PM-001) 商品新增,[P0] 完整商品信息录入,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
7.1.1.2 (PM-002) 商品编辑,[P0] 修改商品信息,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
7.1.1.3 (PM-003) 商品上架,[P0] 设置为可售状态,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
7.1.1.4 (PM-004) 商品下架,[P0] 设置为不可售,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
7.1.1.5 (PM-005) 商品删除,[P1] 逻辑删除,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
7.1.1.6 (PM-006) 批量操作,[P1] 批量上下架,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
7.1.2.1 (IM-001) 库存查询,[P0] 实时库存数量,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
7.1.2.2 (IM-002) 库存入库,[P0] 录入入库数量,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
7.1.2.3 (IM-003) 库存出库,[P0] 录入出库数量,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
7.1.2.4 (IM-004) 库存预警,[P1] 低于阈值提醒,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
7.1.2.5 (IM-005) 库存盘点,[P1] 盘点单管理,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
7.1.2.6 (IM-006) 库存流水,[P1] 出入库记录,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
7.2.1.1 (OM-001) 订单列表,[P1] 全部/按状态筛选,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
7.2.1.2 (OM-002) 订单详情,[P1] 完整订单信息,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
7.2.1.3 (OM-003) 订单发货,[P1] 确认发货 (配送),Task,Peterson,Peterson\Sprint 2,teresa.mo,New
7.2.1.4 (OM-004) 订单核销,[P1] 自提订单扫码核销,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
7.2.1.5 (OM-005) 订单退款,[P2] 退款审核 + 处理,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
7.2.1.6 (OM-006) 订单关闭,[P1] 完成/取消订单,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
7.2.1.7 (OM-007) 订单导出,[P2] 导出 Excel,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
7.3.1.1 (UM-001) 用户列表,[P0] 用户信息展示,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
7.3.1.2 (UM-002) 用户详情,[P0] 详细信息 + 消费记录,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
7.3.1.3 (UM-003) 用户搜索,[P1] 手机号/昵称搜索,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
7.3.1.4 (UM-004) 会员等级管理,[P2] 调整用户等级,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
7.3.1.5 (UM-005) 用户状态管理,[P2] 启用/禁用账号,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
7.4.1.1 (MK-001) 创建优惠券,[P2] 类型、金额、数量、有效期,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
7.4.1.2 (MK-002) 优惠券列表,[P2] 全部/进行中/已结束,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
7.4.1.3 (MK-003) 优惠券发放,[P2] 手动/自动发放,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
7.4.1.4 (MK-004) 优惠券统计,[P2] 领取/使用统计,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
7.4.2.1 (MK-005) 创建折扣活动,[P2] 商品、折扣、时间,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
7.4.2.2 (MK-006) 满减活动配置,[P2] 门槛、减免金额,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
7.4.2.3 (MK-007) 活动页面配置,[P2] banner、素材,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
7.5.1.1 (RP-001) 销售概览,[P1] 今日/本周/本月销售,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
7.5.1.2 (RP-002) 订单统计,[P1] 订单数、金额趋势,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
7.5.1.3 (RP-003) 商品排行,[P1] 销量/销售额 TOP 榜,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
7.5.1.4 (RP-004) 用户分析,[P2] 新增用户、活跃用户,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
7.5.1.5 (RP-005) 数据导出,[P2] Excel 导出,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
7.6.1.1 (SY-001) 角色管理,[P0] 角色创建/编辑/删除,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
7.6.1.2 (SY-002) 权限配置,[P0] 细粒度权限设置,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
7.6.1.3 (SY-003) 用户角色分配,[P0] 分配角色给用户,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
7.6.1.4 (SY-004) 操作日志,[P2] 记录关键操作,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
7.6.2.1 (SY-005) 门店配置,[P0] 门店信息、营业时间,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
7.6.2.2 (SY-006) 配送配置,[P2] 配送范围、运费规则,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
7.6.2.3 (SY-007) 支付配置,[P2] 微信支付参数,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
7.6.2.4 (SY-008) 小程序配置,[P2] 小程序参数设置,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
7.7.1.1 (ADM-STAFF-01) 店员新增+门店分配,[P2] 店员必须且仅绑定一个门店（store_id）；非店员角色不强制门店；停用/调整门店后 POS 权限与数据范围即时生效,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
7.7.2.1 (ADM-COUPON-01) 优惠券全生命周期管理,[P2] 1) 四类券字段完整：现金券（门槛/面额）、打折券（折扣率/限商品最大数量/高低价优先/封顶）、兑换券（兑换商品·规格范围，一单仅兑 1 件免付）、运费抵扣券（全额/固定金额/门槛）；2) 适用门店/分类/商品（含规格）范围、有效期类型、领取上限可配；3) 列表支持状态/名称/类型/日期筛选，进行中券不可删除；4) 精准发放支持全部会员/指定会员、可按人设置数量；5) 核销明细与使用记录可按券/门店/会员/状态/日期筛选并导出 Excel，金额与订单一致,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
7.7.3.1 (ADM-POINT-01) 积分列表,[P2] 余额与流水（获取/消耗/过期/后台调整）合计一致；流水可追溯来源订单；支持按会员/门店筛选,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
7.7.3.2 (ADM-POINT-02) 积分设置（累计规则）,[P2] 支持每多少元积 1 分、取整方式、部分商品不计积分、规则说明；设置热生效且不重算历史订单；退款按比例扣回已赠积分,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
7.7.4.1 (ADM-PRINTER-01) 小票机添加/修改/预览,[P2] 区分厨房打印机（T=1）与前厅收银打印机（T=2），含主/备/分流角色、IP、纸宽、状态、打印模式（整单/按品/按份）与份数；支持测试页预览，连接失败/缺纸/开盖原因可读,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
7.7.4.2 (ADM-PRINTER-02) 商品绑定厨房小票机,[P2] 一个商品绑定一台厨房打印机；厨打路由按门店+商品命中并按打印机聚合出票；未绑定商品不出厨打单且不阻断收银票,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
7.7.5.1 (ADM-TPL-01) 厨打/收银小票模板设置,[P2] 支持后厨制作单（T=1）、收银小票（T=2）及存酒凭证（T=3）；可视化编辑头部标题、底部标语/底部说明，支持商品行/属性/单品备注/券明细组件；模板修改无需发版，预览与实际出票一致,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
7.7.6.1 (ADM-GOODS-01) 添加/修改商品（点餐端显示、小票机设置）,[P2] 点餐端（POS）/小程序显示渠道可分别开关；小票机设置仅可绑定启用中的厨房打印机并校验,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
7.7.6.2 (ADM-GOODS-02) 商品单位管理（增删改）,[P2] 单位支持新增/编辑/删除；被商品规格引用的单位删除被拦截并提示；单位在规格中可选,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
7.7.6.3 (ADM-GOODS-03) 商品批量上下架,[P2] 批量事务一致、部分失败明确回报；上下架结果在小程序/POS 实时同步；记录操作人与时间,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
7.7.6.4 (ADM-GOODS-04) 商品规格/属性排序,[P2] 规格、属性（含属性组/选项）支持排序；POS 与小程序展示顺序一致并即时生效,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
7.7.6.5 (ADM-GOODS-05) 一/二级分类下均可创建商品,[P2] 一级分类与其任一二级分类下均允许创建商品，不强制挂末级；两端列表均能取到（对应 POS-PROD-02/MP-PROD-02）,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
7.7.6.6 (ADM-GOODS-06) 新增/编辑商品库存不可修改,[P2] 新建规格初始库存为 0 且商品表单不可编辑库存；库存仅能经出入库、销售出库、退单入库、盘点调整,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
7.7.7.1 (ADM-ORDER-01) 订单详情,[P2] 新增优惠金额、抹零、应收金额、实收金额、商品销售实收、售后信息、订单 Flow；各金额口径准确（附录 13.6）；售后区关联仅退款/退货退款单；Flow 记录各状态流转时间点,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
7.7.7.2 (ADM-ORDER-02) 订单列表,[P2] 新增商品总价、优惠金额、抹零、应收金额、实收金额列；与详情及营收报表口径一致；支持门店/状态/时间筛选,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
7.7.7.3 (ADM-ORDER-03) 退货/售后单,[P2] 展示退单编号、退款金额、退款数量、售后类型（仅退款 0/退货退款 1）、退款原因、退款时间、备注、订单状态、订单属性、操作人、售后状态；支持筛选与导出；与 POS 退单及库存口径一致,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
7.7.8.1 (ADM-MEMBER-01) 会员详情增强,[P2] 新增积分余额/流水与优惠券（可用+历史）展示；消费记录每条显示订单类型（小程序/门店、自提/堂食/外带等）；手机号等敏感信息脱敏,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
7.7.9.1 (ADM-WINE-01) 存酒列表,[P2] 按顾客/酒名/手机号/状态搜索并统计（全部/即将到期/寄存中/已取出/已过期），口径与 POS 一致；支持导出 Excel（中文表头、字段完整）；大数据量导出性能达标,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
7.7.9.2 (ADM-WINE-02) 存酒设置,[P2] 推送类型含存酒成功/临期提醒/到期提醒/取酒提醒，可组合；存酒有效期支持多档（如 7/15/30 天）与自定义；可配临期提醒天数；可开关操作日志与「完成存酒打印存酒凭证」；绑定前厅打印机与凭证模板,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
7.7.10.1 (ADM-STOCK-01) 出库入库（销售出库/退单入库）,[P2] 支付成功真实扣减时生成销售出库；退货退款生成退单入库，仅退款不生成入库、不改库存；流水含操作类型、数量、前后库存、操作人/来源单号,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
7.7.10.2 (ADM-STOCK-02) 库存盘点,[P2] 录入盘点数量，差异=盘点数−系统快照数；经盘点调整库存并生成盘点调整流水；支持导入模板/导出，盘点期间数据可追溯,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
7.7.11.1 (ADM-STORE-01) 门店多时段营业时间,[P2] 支持每天多个开始-结束时段、按周（周一~周日）配置、每日/每周模式；开始时间<结束时间，重叠/跨天校验；配置实时同步小程序门店展示与自取时间列表（对应 MP-STORE-01/MP-ORDER-01）,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
7.8.1.1 (ADM3-COUPON-01) 优惠券默认图片配置,[P2] 提供优惠券默认图片（正方形尺寸）；券未配置自定义图片时各端展示默认图；默认图可在后台替换；不影响已有自定义图片,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
7.8.2.1 (ADM3-PROMO-01) 套餐促销,[P2] 可创建套餐促销：套餐组、组内商品/数量、套餐价、适用门店/时间；套餐在系统套餐分类与套餐详情展示；套餐促销默认不参与会员折上折与优惠券整单优惠；支持默认套餐图片（1.0 查看）,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
7.8.2.2 (ADM3-PROMO-02) 打折特价,[P2] 可配置打折/特价活动（商品范围、折扣/特价、时间、门店）；固价商品不参与；活动与券的叠加/互斥规则明确（附录 13.8）,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
7.8.2.3 (ADM3-PROMO-03) 满减,[P2] 可配置满减活动（门槛、减免、商品/整单范围、时间、门店）；下单按规则计算促销优惠金额；与券/套餐并存时计价顺序一致可对账,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
7.8.3.1 (ADM3-PERM-01) 登录角色限制与收银权限,[P2] 收银端账号可独立配置「允许挂账」「允许反结账」权限；免单仅店长角色可用；无权限按钮隐藏且后端接口同样拒绝（不依赖前端隐藏）；全部资金类操作写审计日志,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
7.8.4.1 (ADM3-ATTR-01) 全局商品属性列表与选择,[P2] 提供全局属性（属性组/选项）管理；编辑商品属性时从属性库选择而非手工逐条新增；属性可挂多商品/规格，含必选、单/多选、加价、参与折扣等设置；被引用属性删除受保护,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
7.8.5.1 (ADM3-GOODS-01) 商品布局修改与新增字段,[P2] 新增/编辑支持：①属性改造（接全局属性库）；②商品类型（含「店内商品」，制作中不可退、仅当日退）；③定位 tab；④副单位；⑤条码（自动生成）与规格条码；⑥参数设置排序；⑦是否固价（固价不参与任何优惠）；⑧产品图片点击放大预览、拖拽更换位置,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
7.8.5.2 (ADM3-GOODS-02) 商品列表修改,[P2] 商品列表/编辑支持：①点击图集查看大图预览；②规格拆分（SKU）；③新增商品类型（含「店内商品」）；④规格条码；列表字段与新表单一致，适配属性结构与全局/套餐分类改造后的查询展示,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
7.8.6.1 (ADM3-CAT-01) 全局分类与同步,[P2] 新增全局分类管理页；全局分类修改后按全局分类 ID 关联同步到具体门店；批量复制可将所选全局分类复制到门店；门店侧全局分类不可改/删，但可在其下新建二级分类与挂商品；删除规则：全局删除一级分类并同步后，门店父分类移除，门店自建二级分类与其商品保留并升级为门店根级一级分类，商品绑定不自动解绑,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
7.8.6.2 (ADM3-CAT-02) 系统分类「套餐」,[P2] 全局分类中存在唯一系统分类「套餐」：全局可编辑、不可删除、可加二级分类；门店侧系统分类不可编辑/删除、可加二级分类、不可直接加商品；套餐商品只能来自套餐促销,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
7.8.6.3 (ADM3-CAT-03) 商品分类增强,[P2] 分类支持：分类类型（普通分类/套餐分类 Global）、分类图标、禁售时段日期、在小程序显示开关；禁售时段内 POS/小程序不可下单该分类商品,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
7.8.7.1 (ADM3-FEE-01) 服务费配置,[P2] 可按门店/订单属性（堂食等）配置服务费规则（固定额或比例、适用范围）；小程序自提订单不收取服务费；规则变更热生效并作用于新订单,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
7.8.7.2 (ADM3-FEE-02) 打包费配置,[P2] 可配置打包费规则（按商品/套餐/订单、固定额）；外带/自提打包按规则计；费用在三端与小票一致展示,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
7.8.8.1 (ADM3-MBR-01) 会员新增字段与编号规则,[P2] 会员新增：消费次数、累计金额、来源（渠道）、首充金额；同时具备两个编号——会员 ID（对内）=前缀+日期+8 位数字递增（例 CH2026012000000001）；会员卡号（对用户）=前缀+批次+流水，渠道规则：门店「SN+A+9 位随机数字」、小程序「WX+A+9 位随机数字」；两号均唯一可检索；历史会员卡号兼容展示,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
7.8.8.2 (ADM3-MBR-02) 消费记录套餐显示,[P2] 会员消费记录中含套餐订单展示套餐内容；字段与订单详情口径一致,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
7.8.9.1 (ADM3-STOCK-01) 库存副单位计量,[P2] 商品支持主/副单位及换算率；库存查询、出库入库、库存盘点、库存记录均支持副单位录入与展示；按换算率折算主单位库存，不产生账实偏差,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
7.8.10.1 (ADM3-TPL-01) 取酒凭证/退单凭证/收银优惠明细模板,[P2] 票据模板新增：取酒凭证（对应 POS3-WINE-01）、退单小票/退单凭证（对应 POS3-REF-03/04）、收银小票优惠明细区块（对应 POS3-RCPT-01）；支持绑定打印机、可视化编辑与预览；退单小票支持退单触发打印与退单详情补打,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
7.8.11.1 (ADM3-ORD-01) 订单列表新增字段,[P2] 列表新增/支持 tab 切换；金额展示促销优惠、优惠券、服务费、打包费、折后价；与 POS/小程序及营收口径一致,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
7.8.11.2 (ADM3-ORD-02) 订单列表套餐显示,[P2] 含套餐订单在列表展示套餐名称/数量概要,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
7.8.11.3 (ADM3-ORD-03) 订单详情新增字段,[P2] 详情金额区新增促销活动、服务费、打包费、折后价；按套餐组/商品分项可核对,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
7.8.11.4 (ADM3-ORD-04) 订单详情套餐显示,[P2] 详情展示套餐组、组内商品/数量、套餐价与优惠分摊；退款后展示套餐退款状态,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
